Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev,year,month,day
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2021,6,10
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2021,6,10
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2021,6,10
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2021,6,10
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2021,6,10
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2021,6,10
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2021,6,10
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2021,6,10
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2021,6,10
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2021,6,10
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2021,6,10
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2021,6,10
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2021,6,10
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2021,6,10
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2021,6,10
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2021,6,10
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2021,6,10
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2021,6,10
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,14.8865744322538,0.232602725503966,0.23472548276186,0.0515615921158758,2021,6,18
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,8.98822506889701,0.183433164671368,0.19131863117218,0.0587127554261415,2021,6,18
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,12.6200944036245,0.20354990973588,0.212403796613216,0.0505685787545884,2021,6,18
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,15.2731289789081,0.288172244885058,0.297305345535278,0.0689806161600647,2021,6,18
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,13.6584281921387,0.273168563842773,0.268100142478943,0.0556406189971575,2021,6,18
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,9.66393488645554,0.185844901662606,0.17764725536108,0.0541392107980621,2021,6,18
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,18.3402605801821,0.282157855079724,0.292877227067947,0.061053609954559,2021,6,18
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,11.7485358323902,0.202560962627417,0.204052157700062,0.0824842582494599,2021,6,18
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,11.7095953764292,0.18886444155531,0.200049005448818,0.0760524617659681,2021,6,18
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,16.4353911280632,0.27392318546772,0.267613187432289,0.0457220708205354,2021,6,18
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,18.6075092256069,0.326447530273806,0.334156543016434,0.046107536751781,2021,6,18
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,15.5595644265413,0.232232304873751,0.236566767096519,0.0597555913941462,2021,6,18
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,16.209584236145,0.245599761153712,0.248221442103386,0.0471452406483804,2021,6,18
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,10.9926700592041,0.196297679628645,0.202710226178169,0.0630645180362074,2021,6,18
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,13.3077804548666,0.233469832541519,0.241087183356285,0.0601730874501323,2021,6,18
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,12.9377356767654,0.199042087334853,0.206065714359283,0.0617605837104056,2021,6,18
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,15.2031459733844,0.237549155834131,0.227406695485115,0.0646827623755042,2021,6,18
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,16.0078066177666,0.22868295168238,0.241213567554951,0.0659206173467095,2021,6,18
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,16.6486528925598,0.268526659557416,0.28091037273407,0.0647386724913858,2021,6,18
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,12.7979329116642,0.228534516279719,0.244148954749107,0.0811718417670145,2021,6,18
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,58,11.1446945816278,0.19214990657979,0.197847381234169,0.0505381440202291,2021,6,18
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,59,16.522483959794,0.280042101013458,0.283249884843826,0.0567095834152205,2021,6,18
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,67,15.9126806277782,0.237502695936988,0.247335687279701,0.0581251660296162,2021,6,18
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,64,14.6141628473997,0.22834629449062,0.218217425048351,0.048046402377387,2021,6,18
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2021,6,26
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2021,6,26
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2021,6,26
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2021,6,26
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2021,6,26
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2021,6,26
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2021,6,26
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2021,6,26
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2021,6,26
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2021,6,26
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2021,6,26
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2021,6,26
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2021,6,26
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2021,6,26
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2021,6,26
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2021,6,26
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2021,6,26
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2021,6,26
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2021,6,26
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2021,6,26
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2021,6,26
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2021,6,26
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2021,6,26
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2021,6,26
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,15.7067316323519,0.245417681755498,0.24579456448555,0.0514830651111539,2021,7,4
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,9.44309334456921,0.192716190705494,0.194185242056847,0.0624867408660254,2021,7,4
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,13.7329653277993,0.221499440770957,0.223666235804558,0.0552969213159106,2021,7,4
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,16.2624124884605,0.306837971480388,0.31237056851387,0.0706845755362035,2021,7,4
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,14.3310325741768,0.286620651483536,0.293159902095795,0.0595763698117969,2021,7,4
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,10.4877149313688,0.201686825603247,0.203772075474262,0.0487681430378569,2021,7,4
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,19.5917957574129,0.301412242421737,0.3104387819767,0.0617713126241218,2021,7,4
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,12.7224051877856,0.219351813582511,0.220354743301868,0.0820143418361972,2021,7,4
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,12.5741623386275,0.202809069977863,0.201990231871605,0.0705084825107584,2021,7,4
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,17.6016150861979,0.293360251436631,0.297459959983826,0.0474582855176964,2021,7,4
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,19.5829056203365,0.343559747725202,0.347640156745911,0.0446465599436746,2021,7,4
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,16.546338044107,0.246960269315029,0.254882365465164,0.063802749532997,2021,7,4
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,17.3818249553442,0.263360984171882,0.266727954149246,0.0495009928978633,2021,7,4
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,11.8927323892713,0.212370221236987,0.217181608080864,0.0671547895629381,2021,7,4
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,14.067492723465,0.246798117955526,0.250515341758728,0.0651092281761798,2021,7,4
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,14.4301011785865,0.222001556593638,0.227485805749893,0.0641844570439121,2021,7,4
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,16.1825899630785,0.252852968173102,0.249602921307087,0.0659442415986526,2021,7,4
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,16.8496493184939,0.240709275978484,0.248396351933479,0.0661115878770686,2021,7,4
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,17.5153386238962,0.282505461675746,0.300796404480934,0.074298630698261,2021,7,4
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,13.6854941388592,0.2443838239082,0.24783281981945,0.0774003389593216,2021,7,4
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,58,11.7819760963321,0.203137518902277,0.19664078950882,0.0485893226846777,2021,7,4
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,59,17.6314483135939,0.298838107010066,0.308221101760864,0.0569055289547844,2021,7,4
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,67,17.0722066964954,0.254809055171573,0.266900628805161,0.05880256803881,2021,7,4
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,64,15.4600546844304,0.241563354444224,0.24317891150713,0.0529089694076787,2021,7,4
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2021,7,12
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2021,7,12
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2021,7,12
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2021,7,12
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2021,7,12
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2021,7,12
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2021,7,12
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2021,7,12
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2021,7,12
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2021,7,12
