"","Blocktype","UnitNo","Perimeter","Area","Acres","Hectares","ndwi_count","ndwi_sum","ndwi_mean","ndwi_median","ndwi_stdev","year","month","day"
"72","B-Control",14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2019,6,18
"73","UB-Even",9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,14.3952438831329,0.224925685673952,0.218906916677952,0.0362352627063178,2019,6,26
"74","UB-Variable",10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,8.65126394107938,0.176556406960804,0.179795622825623,0.0457154601731803,2019,6,26
"75","UB-Variable",8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,12.3341070860624,0.198937211065523,0.20518097281456,0.0361141862487594,2019,6,26
"76","UB-Control",7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,14.5092535763979,0.27375950144147,0.272081285715103,0.0508986090897304,2019,6,26
"77","UB-Control",12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,13.0829207897186,0.261658415794373,0.26476663351059,0.0451007220660412,2019,6,26
"78","UB-Even",11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,10.0969241559505,0.194171618383664,0.1935805529356,0.0351968453071981,2019,6,26
"79","B-Variable",2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,14.6007656157017,0.224627163318487,0.226572483778,0.0486532555720443,2019,6,26
"80","B-Even",1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,12.2285967804492,0.210837875524985,0.220501959323883,0.0633431885997188,2019,6,26
"81","B-Control",3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,12.4743498936296,0.201199191832735,0.209050685167313,0.0554736125934086,2019,6,26
"82","UB-Even",4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,15.675140991807,0.26125234986345,0.262187153100967,0.0347100725595887,2019,6,26
"83","UB-Control",6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,17.9119734466076,0.314245148186098,0.318445473909378,0.0405196631778193,2019,6,26
"84","UB-Variable",5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,14.4974535629153,0.216379903924109,0.215928748250008,0.0489354759323144,2019,6,26
"85","B-Variable",15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,13.3641254901886,0.202486749851342,0.197917185723782,0.0391583693761646,2019,6,26
